"!symbol / month","!symbol / month"
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Gelieve knipperen of de opslag cache uit te schakelen en probeer het opnieuw. Als dit niet helpt, moet u de machtiging methode om Payment Page en contact <a href=""%s"" target=""_blank"">sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please log in below:","Please log in below:"
"Please read and accept the terms and conditions.","Please read and accept the terms and conditions."
"Please selecet your gender.","Please selecet your gender."
"Please select","Selecteer aub"
"Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Please select the Bank Identifier Code (BIC) of your bank.","Selecteer de Bank Identifier Code (BIC) van uw bank."
"Please select the day of your birth.","Kies de dag van je geboorte."
"Please select the expiry month on your card.","Selecteer de mot van vervaldatum op uw kaart."
"Please select the expiry year on your card.","Vul datum van de kaart de vervaldatum in te voeren"
"Please select the month of your birth.","Kies de maand van je geboorte."
"Please select the the year of your birth.","Selecteer het het jaar van uw geboorte."
"Please select your gender.","Please select your gender."
"Please select your issuing bank.","Please select your issuing bank."
"Please specify the merchant id (EID) of your Klarna account.","Please specify the merchant id (EID) of your Klarna account."
"Please specify the shared secret your Klarna account.","Please specify the shared secret your Klarna account."
"Please wait, processing your order...","Please wait, processing your order..."
"Price","Prijs"
"Product","Product"
"Product Name","Product Name"
"Pull interval","Pull interval"
"Purchase Point","Purchase Point"
"Qty","Hoeveelheid"
"Raten und Laufzeit selbst bestimmen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/account' target='_new' >Lesen sie mehr</a>)","Raten und Laufzeit selbst bestimmen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/account' target='_new' >Lesen sie mehr</a>)"
"Ratenkauf","Ratenkauf"
"Rechnung","Rechnung"
"Recurring Payments","Recurring Payments"
"Refund Amount","Terug te betalen bedrag"
"Refund ID","Refund ID"
"Refund amount","Terug te betalen bedrag"
"Refund information","Informatie van de terugbetaling"
"Refund status","Status van de restitutie"
"Refunded Amount","Bedrag gecrediteerd"
"Refunds","Refunds"
"Register","Register"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Release Date","Release Date"
"Responsive Payment Page","Responsive Payment Page"
"Review","Review"
"Rounding Adjustment","Rounding Adjustment"
"Row Total","Rijtotaal"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Sales"
"Sales Tax Number","Sales Tax nummer"
"Save","Bewaren"
"Saved cards:","Opgeslagen kaarten:"
"See order and shipping status","See order and shipping status"
"Select Brand","Kies een Merk"
"Select Method","Select Method"
"Select if Direkt??berweisung should verfiy payment data","Select if Direkt??berweisung should verfiy payment data"
"Select if DirektÜberweisung should verfiy payment data","Select if DirektÜberweisung should verfiy payment data"
"Select the additional information shown to the customer.","Select the additional information shown to the customer."
"Select the authorization method to use for processing this payment method.","Selecteer de Autorisatie Methode voor deze betaalmethode."
"Select the data which FirstData Connect collects during the payment page checkout process","Select the data which FirstData Connect collects during the payment page checkout process"
"Select the data which FirstData Connect collects during the payment page checkout process. We suggest that you use 'Payment Information only' otherwise the user will be asked for additional details on the Payment Page.","Select the data which FirstData Connect collects during the payment page checkout process. We suggest that you use 'Payment Information only' otherwise the user will be asked for additional details on the Payment Page."
"Select the date of your birth.","Kies de datum van uw geboorte."
"Select the date on which your card expires.","Selecteer de datum waarop uw kaart verloopt."
"Select your gender","Select your gender"
"Send Invoice Email","Send Invoice Email"
"Send amounts to FirstData Connect in base currency.","Send amounts to FirstData Connect in base currency."
"Send amounts to FirstData Connect in store's base currency.","Send amounts to FirstData Connect in store's base currency."
"Send invoice email","Send invoice email"
"Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Voor 'Directe Boeking' het bedrag wordt direct in mindering gebracht na betaling voltooid. Voor 'Vertraagde boeking' het bedrag wordt gedebiteerd pas na een bepaalde periode van je."
"Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Settlement after order","Creatie na de bestelling"
"Shared Secret Connect Interface provided by FirstData Connect (Test).","Shared Secret Connect Interface provided by FirstData Connect (Test)."
"Shared Secret Connect Interface provided by FirstData Connect.","Shared Secret Connect Interface provided by FirstData Connect."
"Shipping","Shipping"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Amount","Verzending bedrag"
"Shipping Information","Verzend Informatie"
"Shipping Method","Shipping Method"
"Shipping Methods","Shipping Methods"
"Shipping Refund","Verzending terugbetaling"
"Shop","Shop"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?"
"Show","Show"
"Show Account Selection","Show Account Selection"
"Show Further Settings and Information","Toon meer instellingen en informatie"
"Show Image","Show Image"
"Show Installment information","Show Installment information"
"Show Invoice information","Show Invoice information"
"Show Payment Id","Show Payment Id"
"Show the payment id","Show the payment id"
"Show the payment id in the order information","Show the payment id in the order information"
"Show the payment image","Show the payment image"
"Show the payment image on the checkout page","Show the payment image on the checkout page"
"Sign In","Sign In"
"Social Security Number","Social Security Number"
"Social security number required","Social security number required"
"Solvency Information","Solvency Information"
"Sort Order","Schik de orde"
"Status","Status"
"Status After Pending","Status After Pending"
"Status denied after Klarna pending","Status denied after Klarna pending"
"Store ID","Store ID"
"Store ID (Test)","Store ID (Test)"
"Store the payment details","Store the payment details"
"Stored payment details","Stored payment details"
"Submit Order","Submit Order"
"Submitting order information...","Submitting order information..."
"Subtotal","Subtotaal"
"Success","Succes"
"Successful","Met goed gevolg"
"Successful online refund of amount","Succesvolle online teruggaaf van bedragen"
"Successful payment authorization.","Succesvolle machtiging."
"Successfull online refund of amount","Het bedrag werd met succes terugbetaald."
"Support","Support"
"Tax Amount","Belastingbedrag"
"Technical issue: This payment methods is not available at the moment.","Technisch probleem: Deze betaalmethode is momenteel niet beschikbaar."
"Terms and Conditions","Terms and Conditions"
"Test Environment","Test Environment"
"Test Mode","Test Mode"
"Test Transaction","Test Transaction"
"The API password required for the basic authorization will be provided by FirstData Connect (Test).","The API password required for the basic authorization will be provided by FirstData Connect (Test)."
"The API password required for the basic authorization will be provided by FirstData Connect.","The API password required for the basic authorization will be provided by FirstData Connect."
"The HMAC key as defined in the live backoffice of FirstData Connect. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of FirstData Connect. You may need generate the HMAC key. Please take a look at the manual how to do this."
"The MoTo API password required for the basic authorization. The password is provided by FirstData Connect (Test).","The MoTo API password required for the basic authorization. The password is provided by FirstData Connect (Test)."
"The MoTo API password required for the basic authorization. The password is provided by FirstData Connect.","The MoTo API password required for the basic authorization. The password is provided by FirstData Connect."
"The MoTo User Id who is allowed to access the API","The MoTo User Id who is allowed to access the API"
"The MoTo User Id who is allowed to access the API (Test)","The MoTo User Id who is allowed to access the API (Test)"
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","De SEPA-machtiging schema niet de tag 'tag!' Bevatten. Deze tag is nodig."
"The Store ID will be provided by FirstData Connect and usally consist of 11 digits.","The Store ID will be provided by FirstData Connect and usally consist of 11 digits."
"The Store ID will be provided by FirstData Connect and usally consist of 11 digits. (Test)","The Store ID will be provided by FirstData Connect and usally consist of 11 digits. (Test)"
"The User Id who is allowed to access the API will be provided by FirstData Connect (Test).","The User Id who is allowed to access the API will be provided by FirstData Connect (Test)."
"The User Id who is allowed to access the API will be provided by FirstData Connect.","The User Id who is allowed to access the API will be provided by FirstData Connect."
"The alias could not be found.","The alias could not be found."
"The alias has been deleted.","De alias is verwijderd."
"The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by FirstData Connect.","The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by FirstData Connect."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"The amount could not be verified.","The amount could not be verified."
"The amount of !amount is authorized.","Het bedrag van !amount is toegestaan."
"The amount of !amount is captured.","De hoeveelheid !amount wordt opgevangen."
"The authorization method '!method' is not supported.","De methode vergunning '!method' wordt niet ondersteund."
"The authorization was not successful","The authorization was not successful"
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"The brand of the credit card is detected by the card number if hidden authorization is used. The allowed credit card brands can be restricted by this setting. If payment page is used the customer will select the payment method at ____paymetnServiceProviderName____ and this setting is ignored.","The brand of the credit card is detected by the card number if hidden authorization is used. The allowed credit card brands can be restricted by this setting. If payment page is used the customer will select the payment method at ____paymetnServiceProviderName____ and this setting is ignored."
"The brand with external name '!key' was not present in the map.","Het merk met externe naam  '!key' was niet in de kaart."
"The brand with key '!key' was not found in the card information map.","Het merk met de belangrijkste !key'  werd niet gevonden in de kaartinformatie kaart."
"The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","De vangst bedrag (!captureAmount) kan niet hoger zijn dan het toegestane bedrag (!authorizedAmount)."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images? (Only for Hidden Authorization)","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images? (Only for Hidden Authorization)"
"The configuration has been saved.","De configuratie is opgeslagen."
"The context is in the wrong state, for this action","The context is in the wrong state, for this action"
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"The customer did not the terms and conditions of Klarna.","The customer did not the terms and conditions of Klarna."
"The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"The date of birth is required.","The date of birth is required."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","De verwachte formaat is '!format' waar de 'MM' is de maand nummer en 'YY' het jaartal."
"The gender is required.","The gender is required."
"The given CVC code has the wrong length.","De gegeven CVC-code heeft de verkeerde lengte."
"The given card number has an invalid check sum.","Het opgegeven kaartnummer heeft een ongeldige checksum."
"The given card number has an invalid length.","Het opgegeven kaartnummer heeft een ongeldige lengte."
"The given hmac key is empty.","The given hmac key is empty."
"The given identifier is empty.","The given identifier is empty."
"The given password is empty.","The given password is empty."
"The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"The given site number is empty.","The given site number is empty."
"The identifier as defined in the backoffice of FirstData Connect.","The identifier as defined in the backoffice of FirstData Connect."
"The interval in minutes between pulling updates from FirstData Connect.","The interval in minutes between pulling updates from FirstData Connect."
"The invoice could not be captured and processed by","De rekening kon niet worden geboekt en bewerkt van FirstData Connect."
"The invoice could not be captured and processed. Reason:","De factuur kan niet worden vastgelegd en verwerkt. Reden:"
"The invoice could not be found.","De factuur kan niet worden gevonden."
"The invoice has been changed.","De factuur is gewijzigd."
"The invoice no longer exists.","De factuur bestaat niet meer."
"The layout does not contain the tag '!layout_tag'.","De lay-out is niet de tag '!layout_tag' bevatten."
"The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"The order is not fully completed. Please contact the store owner.","The order is not fully completed. Please contact the store owner."
"The passphrase to access the MoTO client certificate provided by FirstData Connect (Test).","The passphrase to access the MoTO client certificate provided by FirstData Connect (Test)."
"The passphrase to access the MoTO client certificate provided by FirstData Connect.","The passphrase to access the MoTO client certificate provided by FirstData Connect."
"The passphrase to access the client certificate provided by FirstData Connect. Please make sure that you follow the instructions in the manual concerning the creation of the certificate file (Test).","The passphrase to access the client certificate provided by FirstData Connect. Please make sure that you follow the instructions in the manual concerning the creation of the certificate file (Test)."
"The passphrase to access the client certificate provided by FirstData Connect. Please make sure that you follow the instructions in the manual concerning the creation of the certificate file.","The passphrase to access the client certificate provided by FirstData Connect. Please make sure that you follow the instructions in the manual concerning the creation of the certificate file."
"The payment failed due to an unkown reason","The payment failed due to an unkown reason"
"The payment form will be displayed after submitting the order.","The payment form will be displayed after submitting the order."
"The payment has been accepted.","The payment has been accepted."
"The payment has been denied.","The payment has been denied."
"The payment method !paymentMethod does not support recurring payment.","The payment method !paymentMethod does not support recurring payment."
"The payment method !paymentMethodName does not support the currency '!currency'.","De betaalmethode !paymentMethodName ondersteunt niet de munt '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","De betaalmethode !paymentMethodName is niet beschikbaar in uw land ('!country')."
"The payment update has been made.","The payment update has been made."
"The provided signature does not match with the one calculated.","The provided signature does not match with the one calculated."
"The rang (PBX_RANG) as defined in the live backoffice of FirstData Connect. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of FirstData Connect. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"The shared secret for the connect interface","The shared secret for the connect interface"
"The shared secret for the connect interface (Test)","The shared secret for the connect interface (Test)"
"The shared secret for the connect interface used for your MOTO transactions provided by FirstData Connect (Test).","The shared secret for the connect interface used for your MOTO transactions provided by FirstData Connect (Test)."
"The shared secret for the connect interface used for your MOTO transactions provided by FirstData Connect.","The shared secret for the connect interface used for your MOTO transactions provided by FirstData Connect."
"The shipping and billing addresses must be equal","The shipping and billing addresses must be equal"
"The shopping cart has been altered!","The shopping cart has been altered!"
"The signature could not be verified.","The signature could not be verified."
"The site id (PBX_RANG) as defined in the backoffice of FirstData Connect.","The site id (PBX_RANG) as defined in the backoffice of FirstData Connect."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Het totaal terug te betalen bedrag kan niet hoger zijn dan de vastgelegde bedrag"
"The transaction cannot be cancelled online.","The transaction cannot be cancelled online."
"The transaction cannot be captured online.","The transaction cannot be captured online."
"The transaction cannot be refunded online.","The transaction cannot be refunded online."
"The transaction failed with an unkown error.","The transaction failed with an unkown error."
"The transaction failed with error code !code.","The transaction failed with error code !code."
"The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"The transaction was declined by Klana.","The transaction was declined by Klana."
"The whole transaction is cancelled.","De gehele transactie is geannuleerd."
"There has been a problem during the processing of your payment.","There has been a problem during the processing of your payment."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Er is een probleem bij de verwerking van uw betaling. Neem contact op met de winkel eigenaar om ervoor te zorgen dat uw bestelling succesvol geplaatst wordt."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"There is a technical issue, please contact the merchant.","There is a technical issue, please contact the merchant."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"There seems to be a problem with the FirstData Connect module.","Er lijkt een probleem met de FirstData Connect module zijn."
"There was an error validating the login and password.","There was an error validating the login and password."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"This method is not available for companies","This method is not available for companies"
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the FirstData Connect account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the FirstData Connect account."
"This payment method is currently not available, please select another one.","This payment method is currently not available, please select another one."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"This status is set, when the payment was successfull and it is authorized.","This status is set, when the payment was successfull and it is authorized."
"This transaction is already closed for further captures.","Deze transactie is gesloten en geen verdere gegevens worden gemaakt."
"This transaction is already closed for further refunds.","Deze transactie werd gesloten voor meer credits."
"This transaction no longer exists.","This transaction no longer exists."
"Timeout for pending payments (min)","Time-out voor lopende betalingen (min)"
"Titel","Titel"
"Title","Title"
"Title of the payment method","Naam van de betalingsmethode"
"Total","Totaal"
"Total Shipping Charges","Totale verzendkosten"
"Track order history","Track order history"
"Trans ID","Trans ID"
"Transaction","Transaction"
"Transaction Authorized","Geautoriseerde transactie"
"Transaction Cancelled","Transactie geannuleerd"
"Transaction Captured","Transactie opgenomen"
"Transaction History","Transaction History"
"Transaction Id","Transaction Id"
"Transaction Paid","Transactie betaald"
"Transaction Uncertain","Transactie is onzeker"
"Transaction Updates","Transaction Updates"
"Transaction cancelled successfully","Transactie met succes geannuleerd"
"Transaction captured successfully","Transactie met succes gevangen"
"Transaction declined as authorization is pending at a third party service.","Transaction declined as authorization is pending at a third party service."
"Transaction history","Overzicht transactie"
"Transaction notification verification failed.","Transaction notification verification failed."
"Transaction was authorized over the deferred authorization mechanism.","Transactie werd toegestaan ​​over de uitgestelde autorisatiemechanisme."
"Transactions","Transactions"
"Unable to save the invoice.","Niet in staat om de factuur op te slaan."
"Uncertain Status","Uncertain Status"
"Uncertain transactions","Onzekere transacties"
"Update","Update"
"Update Qty's","Hoeveelheden update"
"Update interval for payments","Update Intervall voor betalingen"
"Use Base Currency","Use Base Currency"
"Use Default","Gebruik standaardinstellingen"
"Use base currency","Use base currency"
"VISA","VISA"
"Validation","Bevestiging"
"Version","Version"
"View","View"
"Wait On Success Page","Wait On Success Page"
"We cannot get the transaction instance.","We cannot get the transaction instance."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","We ervaren een probleem met uw betaling extensie van sellxed. Voor meer informatie kunt u terecht op de configuratie pagina van de plugin."
"We're sorry. We were unable to process this transaction with Klarna. Please choose another payment method.","We're sorry. We were unable to process this transaction with Klarna. Please choose another payment method."
"When the store is not available (network outage, server failure or any other outage), when the feedback of FirstData Connect is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of FirstData Connect is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento."
"Year","Jaar"
"Yes","Ja"
"Yes, use images for the brand selection.","Yes, use images for the brand selection."
"You can allow the customers to manage/delete their aliases in the their account.","You can allow the customers to manage/delete their aliases in the their account."
"You can decide on the order status new orders should have after they are processed successfully.","Definiër de order status, die met succes werden verwerkt."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definiër de order status, die een onzekere status hebben."
"You can only capture/refund a complete line item. (Item: !name - Expected Amount: !expected - Given Amount: !given)","You can only capture/refund a complete line item. (Item: !name - Expected Amount: !expected - Given Amount: !given)"
"You can specify the order status for new orders that have an uncertain authorisation status.","You can specify the order status for new orders that have an uncertain authorisation status."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","You can specify the order status for orders that are captured either directly after the order or manually in the backend."
"You can specify the order status for orders that are denied after being pending at Klarna","You can specify the order status for orders that are denied after being pending at Klarna"
"You can specify the order status for orders that had a pending authorization status. Due to technical reasons it can happen that a transaction can not be cleared directly. The order will then be set on a hold state. The module will automatically check for a status update. With the 'Status after Pending' you define which status will be set in case the order has been cleared. We suggest to set the state according the authorization state above.","You can specify the order status for orders that had a pending authorization status. Due to technical reasons it can happen that a transaction can not be cleared directly. The order will then be set on a hold state. The module will automatically check for a status update. With the 'Status after Pending' you define which status will be set in case the order has been cleared. We suggest to set the state according the authorization state above."
"You can specify the order status when an order is cancelled.","You can specify the order status when an order is cancelled."
"You can switch between the different environments, by selecting the corresponding operation mode.","You can switch between the different environments, by selecting the corresponding operation mode."
"You created the order.","You created the order."
"You have no stored aliases.","You have no stored aliases."
"You have to enter a bankcode.","You have to enter a bankcode."
"You have to enter a card number.","Je moet een kaartnummer in te voeren."
"You have to enter a valid BIC.","You have to enter a valid BIC."
"You have to enter a valid IBAN","You have to enter a valid IBAN"
"You have to enter a valid account number","You have to enter a valid account number"
"You have to enter a valid bank code.","You have to enter a valid bank code."
"You have to enter an IBAN.","You have to enter an IBAN."
"You have to enter an account number.","You have to enter an account number."
"You have to enter bank code of your bank.","Je moet bankcode van uw bank in te voeren."
"You have to enter commercial number of you company.","Je moet commerciële aantal van jullie bedrijf in te voeren."
"You have to enter either the CVC code or the issue number of your card.","Je moet ofwel de CVC-code of het nummer van afgifte van uw kaart in te voeren."
"You have to enter sales tax number of you company.","Je moet omzetbelasting aantal van jullie bedrijf in te voeren."
"You have to enter sales tax number of your company.","You have to enter sales tax number of your company."
"You have to enter the BIC of your bank.","You have to enter the BIC of your bank."
"You have to enter the BIC.","Je moet de BIC in te voeren."
"You have to enter the CVC code from the back of your credit card.","You have to enter the CVC code from the back of your credit card."
"You have to enter the CVC code from your card.","U moet de CVC uw kaart in te voeren."
"You have to enter the CVC code or the issue number from your credit card.","You have to enter the CVC code or the issue number from your credit card."
"You have to enter the IBAN.","Je moet de IBAN in te voeren."
"You have to enter the a card number.","You have to enter the a card number."
"You have to enter the a valid card number.","You have to enter the a valid card number."
"You have to enter the account holder name on the card.","Je moet de naam rekeninghouder op de kaart in te voeren."
"You have to enter the account holder name.","Je moet de naam van de rekeninghouder te voeren."
"You have to enter the card expiry.","You have to enter the card expiry."
"You have to enter the card holder name on the card.","U moet de kaarthouder in te voeren."
"You have to enter the location of your bank.","Je moet de locatie van uw bank in te voeren."
"You have to enter the name of the account owner.","Je moet de rekeninghouder te voeren."
"You have to enter the name of your bank.","Je moet de naam van uw bank in te voeren."
"You have to enter your IBAN Number.","Je moet voer uw IBAN-nummer."
"You have to enter your IBAN.","You have to enter your IBAN."
"You have to enter your bank account number.","Je moet het rekeningnummer van uw bankrekening in te voeren."
"You have to enter your birthplace","You have to enter your birthplace"
"You have to enter your date of birth","You have to enter your date of birth"
"You have to enter your social security number.","U moet uw sofi-nummer in te voeren."
"You may choose one of the cards you paid before on this site.","U kunt kiezen uit een eerder gebruikte kaart:"
"You may choose one of your stored payment details.","You may choose one of your stored payment details."
"You will be redirect to the order confirmation page.","U wordt omgeleid naar de pagina orderbevestiging."
"You will be redirected in a few seconds to MasterPass.","You will be redirected in a few seconds to MasterPass."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Uw browser staat niet toe dat de uitvoering van JavaScript. Gelieve JavaScript te activeren in uw browser en herlaad deze pagina."
"Your checkout session expired.","Your checkout session expired."
"FirstDataConnectCw Aliases","FirstDataConnectCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"FirstData Connect API Password","FirstData Connect API Password"
"FirstData Connect API Password (Test)","FirstData Connect API Password (Test)"
"FirstData Connect API User Id","FirstData Connect API User Id"
"FirstData Connect API User Id (Test)","FirstData Connect API User Id (Test)"
"FirstData Connect API password","FirstData Connect API password"
"FirstData Connect Aliases","FirstData Connect Aliases"
"FirstData Connect Error","Fout met FirstData Connect"
"FirstData Connect Parameters","FirstData Connect Parameters"
"FirstData Connect Refund Items","FirstData Connect Refund Items"
"FirstData Connect Section","FirstData Connect Section"
"FirstData Connect Transactions","FirstData Connect Transactions"
"FirstData Connect:","FirstData Connect:"
"FirstData Connect: Alias Management","FirstData Connect: Alias Management"
"customweb ltd","customweb ltd"
"no","no"
"or","or"
"yes","yes"
